Trial_ID,Well_ID,Animal_ID,NumBout,BoutStart,BoutEnd,Condition,Genotype,videoDuration,Bout Duration (s),Bout Distance (mm),Bout Speed (mm/s),Angular Velocity (deg/s),Max TBF (Hz),Mean TBF (Hz),medianOfInstantaneousTBF,Mean TBF (Hz) (based on first 4 bends),Mean TBF (Hz) (based on first 6 bends),Max absolute TBA (deg.),maxBendAmplitudeSigned,Mean absolute TBA (deg.),Median absolute TBA (deg.),medianBendAmplitudeSigned,Number of Oscillations,meanTBF,maxTailAngleAmplitude,Absolute Yaw (deg),Signed Yaw (deg),TBA#1 timing (s),TBA#1 Amplitude (deg),firstBendAmplitudeSigned,IBI (s),xmean,ymean,binaryClass25degMaxTailAngle,tailAngleIntegralSigned,BoutFrameNumberStart,tailAngleSymmetry,secondBendAmpDividedByFirst,tailAngleIntegral,maxInstantaneousSpeed
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,28,3634,3675,es,o,59.99,0.42,271.7401266,662.7807965,0.49036839,,,,,,,,,,,0.0,0.0,11.6975925,0.116053784,0.116053784,,,,0.42,542.9283173,42816.05218,0,-17.4513429,3634,0.903088233,,278.6918773,12456.80256
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,27,3543,3592,es,o,59.99,0.5,202.0170133,412.279619,0.30140978,16.66666667,9.126984127,9.027777778,9.126984127,9.126984127,9.436644407,-9.436644407,5.964129977,5.536695012,0.346529472,2.0,4.0,13.44236718,0.249811997,0.249811997,0.28,9.436644407,-9.436644407,0.74,542.641287,42813.47541,0,-30.38780584,3543,0.87137551,-0.745375719,280.0595643,7227.41778
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,26,3384,3469,es,o,59.99,0.86,361.7259988,425.5599986,0.309894562,16.66666667,12.72486772,16.66666667,11.75595238,12.6984127,6.86000068,-6.86000068,5.365214187,5.361160955,-4.174359653,4.5,5.23255814,11.53231775,0.135846051,-0.135846051,0.42,6.86000068,-6.86000068,0.88,542.2876037,42811.85227,0,29.01815363,3384,0.87881504,-0.899533275,432.2553118,5122.177511
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,25,3242,3296,es,o,59.99,0.55,399.2733104,739.3950193,0.548145871,4.166666667,4.166666667,4.166666667,4.166666667,4.166666667,43.91744617,43.91744617,43.91744617,43.91744617,43.91744617,0.5,0.909090909,43.91744617,0.342785005,-0.342785005,0.12,43.91744617,43.91744617,0.61,541.3856957,42815.29585,1,340.8079808,3242,0.286146184,,539.0249849,16502.28956
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,34,4403,4446,es,o,59.99,0.44,49.9646301,116.1968142,0.060628281,,,,,,,,,,,0.0,0.0,9.95917571,0.073991509,0.073991509,,,,0.56,539.4679981,42826.16101,0,-10.41390891,4403,0.81362229,,201.0486223,1062.738073
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,1,150,208,es,o,59.99,0.59,335.5836608,578.5925186,0.434206016,6.25,3.835470085,3.333333333,3.835470085,3.835470085,10.30484612,10.30484612,8.176818043,7.306825744,7.306825744,1.5,2.542372881,10.30484612,0.178374063,0.178374063,0.26,10.30484612,10.30484612,1.05,542.1946098,42813.87913,0,-12.62707238,150,0.901059084,-0.671410536,319.0090235,13310.61429
F2_T2_pre_2024_07_03-20_45_56.h5,0,0,0,1,45,es,o,59.99,0.45,340.0587096,772.8607037,0.547183968,16.66666667,8.213601533,6.25,8.213601533,8.213601533,8.589212042,8.589212042,4.568647722,3.197051396,1.919679727,1.5,3.333333333,10.45123489,3.339336101,-3.339336101,0.29,8.589212042,8.589212042,0.01,538.8104799,42817.29376,0,8.719188074,1,0.8962833,0.223498933,237.6075828,10399.13724
F1_T5_pre_2024_07_03-16_34_42.h5,0,0,12,3136,3202,es,o,59.99,0.67,204.393576,309.6872364,0.194779033,8.333333333,4.656862745,4.656862745,4.656862745,4.656862745,4.98416898,-4.98416898,4.254350796,4.254350796,-4.254350796,1.0,1.492537313,19.65810824,0.547152828,-0.547152828,0.51,3.524532613,-3.524532613,2.35,-1.051745426,44721.86734,0,-113.8439109,3136,0.815334917,1.41413615,405.9449418,5385.980202
F1_T5_pre_2024_07_03-16_34_42.h5,0,0,11,2765,2901,es,o,59.99,1.37,511.4789875,376.0874908,0.229631056,16.66666667,9.570759289,9.027777778,5.397883926,9.15414484,6.082099634,-6.082099634,3.096894391,2.640322067,-0.460403866,6.0,4.379562044,8.342811919,0.762038238,0.762038238,0.04,0.296796307,0.296796307,0.89,-0.394451687,44728.97401,0,-77.76029957,2765,0.82297479,-20.49250441,359.117657,6050.533212
F1_T5_pre_2024_07_03-16_34_42.h5,0,0,10,2670,2676,es,o,59.99,0.07,3.164135977,52.73559962,0.04828658,,,,,,,,,,,0.0,0.0,1.208818748,0.143184953,0.143184953,,,,0.93,-0.801317616,44723.17129,0,-4.488516071,2670,-0.094141493,,4.488516071,1745.525311
F1_T5_pre_2024_07_03-16_34_42.h5,0,0,9,2514,2577,es,o,59.99,0.64,113.5683232,180.2671798,0.108356869,4.166666667,2.615248227,2.615248227,2.615248227,2.615248227,6.575068106,-6.575068106,4.231625837,4.231625837,-4.231625837,1.0,1.5625,17.17273536,0.088134838,0.088134838,0.47,6.575068106,-6.575068106,3.33,-0.363630187,44728.16569,0,-102.3383891,2514,0.5019087,0.287173233,336.9816338,6832.959749
F1_T5_pre_2024_07_03-16_34_42.h5,0,0,8,2177,2181,es,o,59.99,0.05,9.392009838,234.800246,0.143475432,,,,,,,,,,,0.0,0.0,1.769578824,0.036677249,-0.036677249,,,,0.49,-0.225737412,44731.45475,0,-7.886052551,2177,-0.794557523,,7.886052551,517.9807023
F1_T5_pre_2024_07_03-16_34_42.h5,0,0,7,2124,2128,es,o,59.99,0.05,1.22365487,30.59137176,0.018694766,,,,,,,,,,,0.0,0.0,2.42822127,0.050315485,-0.050315485,,,,0.37,-0.257898831,44730.57427,0,-11.40570538,2124,-0.912386809,,11.40570538,108.8306802
F1_T5_pre_2024_07_03-16_34_42.h5,0,0,6,2084,2087,es,o,59.99,0.04,6.332430212,211.0810071,0.096744772,,,,,,,,,,,0.0,0.0,3.420348383,0.03231393,0.03231393,,,,0.31,-0.26143451,44730.9259,0,-12.75275276,2084,-0.81264353,,12.75275276,495.292574
F1_T5_pre_2024_07_03-16_34_42.h5,0,0,5,1856,2053,es,o,59.99,1.98,521.9963044,264.9727434,0.158237938,16.66666667,7.057840582,5.0,8.368055556,9.546957672,65.40611021,-65.40611021,18.10424397,4.732775992,-2.197662117,8.0,4.04040404,65.40611021,1.131425889,1.131425889,0.1,0.005454448,0.005454448,0.36,-0.509564941,44727.22224,1,-2331.475302,1856,0.086162092,-133.5074627,2401.862604,3959.92898
F1_T5_pre_2024_07_03-16_34_42.h5,0,0,4,1744,1820,es,o,59.99,0.77,167.9707285,221.0141165,0.134984577,16.66666667,8.370535714,7.738095238,7.098214286,8.898809524,1.862680216,-1.862680216,0.974002423,0.915698141,-0.644462611,4.0,5.194805195,1.862680216,0.527004678,-0.527004678,0.08,0.207851596,-0.207851596,0.17,0.15809144,44734.87421,0,-47.99524438,1744,0.582639651,5.565230722,54.41435366,3742.288075
