file,time_bin,percent_time_swimming,condition
C7_t2_2025_11_11-01_33_23.h5,24.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,25.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,26.5,0.999999999999801,control
C7_t2_2025_11_11-01_33_23.h5,27.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,28.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,29.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,30.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,31.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,32.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,33.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,34.5,7.000000000000028,control
C7_t2_2025_11_11-01_33_23.h5,35.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,36.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,37.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,38.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,39.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,40.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,41.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,42.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,43.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,44.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,45.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,46.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,47.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,48.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,49.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,50.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,51.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,52.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,53.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,54.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,55.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,56.5,0.999999999999801,control
C7_t2_2025_11_11-01_33_23.h5,57.5,7.000000000000028,control
C7_t2_2025_11_11-01_33_23.h5,58.5,31.000000000000227,control
C7_t2_2025_11_11-01_33_23.h5,59.5,100.0,control
C7_t2_2025_11_11-01_33_23.h5,60.5,100.0,control
C7_t2_2025_11_11-01_33_23.h5,61.5,64.00000000000006,control
C7_t2_2025_11_11-01_33_23.h5,62.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,63.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,64.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,65.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,66.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,67.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,68.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,69.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,70.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,71.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,72.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,73.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,74.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,75.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,76.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,77.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,78.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,79.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,80.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,81.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,82.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,83.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,84.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,85.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,86.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,87.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,88.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,89.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,90.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,91.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,92.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,93.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,94.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,95.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,96.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,97.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,98.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,99.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,100.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,101.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,102.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,103.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,104.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,105.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,106.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,107.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,108.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,109.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,110.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,111.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,112.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,113.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,114.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,115.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,116.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,117.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,118.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,119.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,120.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,121.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,122.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,123.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,124.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,125.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,126.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,127.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,128.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,129.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,130.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,131.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,132.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,133.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,134.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,135.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,136.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,137.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,138.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,139.5,12.000000000000457,control
C7_t2_2025_11_11-01_33_23.h5,140.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,141.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,142.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,143.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,144.5,0.0,control
C7_t2_2025_11_11-01_33_23.h5,145.5,31.99999999999932,control
C7_t2_2025_11_11-01_33_23.h5,146.5,96.99999999999989,control
C7_t2_2025_11_11-01_33_23.h5,147.5,90.99999999999966,control
C7_t2_2025_11_11-01_33_23.h5,148.5,90.99999999999966,control
