file,time_bin,percent_time_swimming,condition
C3_t1_2025_11_10-19_22_50.h5,34.5,0,control
C3_t1_2025_11_10-19_22_50.h5,35.5,70,control
C3_t1_2025_11_10-19_22_50.h5,36.5,0,control
C3_t1_2025_11_10-19_22_50.h5,37.5,0,control
C3_t1_2025_11_10-19_22_50.h5,38.5,0,control
C3_t1_2025_11_10-19_22_50.h5,39.5,2,control
C3_t1_2025_11_10-19_22_50.h5,40.5,0,control
C3_t1_2025_11_10-19_22_50.h5,41.5,13,control
C3_t1_2025_11_10-19_22_50.h5,42.5,61,control
C3_t1_2025_11_10-19_22_50.h5,43.5,0,control
C3_t1_2025_11_10-19_22_50.h5,44.5,0,control
C3_t1_2025_11_10-19_22_50.h5,45.5,44,control
C3_t1_2025_11_10-19_22_50.h5,46.5,49,control
C3_t1_2025_11_10-19_22_50.h5,47.5,0,control
C3_t1_2025_11_10-19_22_50.h5,48.5,0,control
C3_t1_2025_11_10-19_22_50.h5,49.5,0,control
C3_t1_2025_11_10-19_22_50.h5,50.5,0,control
C3_t1_2025_11_10-19_22_50.h5,51.5,0,control
C3_t1_2025_11_10-19_22_50.h5,52.5,0,control
C3_t1_2025_11_10-19_22_50.h5,53.5,0,control
C3_t1_2025_11_10-19_22_50.h5,54.5,12,control
C3_t1_2025_11_10-19_22_50.h5,55.5,75,control
C3_t1_2025_11_10-19_22_50.h5,56.5,0,control
C3_t1_2025_11_10-19_22_50.h5,57.5,0,control
C3_t1_2025_11_10-19_22_50.h5,58.5,4,control
C3_t1_2025_11_10-19_22_50.h5,59.5,0,control
C3_t1_2025_11_10-19_22_50.h5,60.5,71,control
C3_t1_2025_11_10-19_22_50.h5,61.5,7,control
C3_t1_2025_11_10-19_22_50.h5,62.5,0,control
C3_t1_2025_11_10-19_22_50.h5,63.5,0,control
C3_t1_2025_11_10-19_22_50.h5,64.5,69,control
C3_t1_2025_11_10-19_22_50.h5,65.5,11,control
C3_t1_2025_11_10-19_22_50.h5,66.5,0,control
C3_t1_2025_11_10-19_22_50.h5,67.5,0,control
C3_t1_2025_11_10-19_22_50.h5,68.5,15,control
C3_t1_2025_11_10-19_22_50.h5,69.5,70,control
C3_t1_2025_11_10-19_22_50.h5,70.5,2,control
C3_t1_2025_11_10-19_22_50.h5,71.5,0,control
C3_t1_2025_11_10-19_22_50.h5,72.5,0,control
C3_t1_2025_11_10-19_22_50.h5,73.5,37,control
C3_t1_2025_11_10-19_22_50.h5,74.5,22,control
C3_t1_2025_11_10-19_22_50.h5,75.5,0,control
C3_t1_2025_11_10-19_22_50.h5,76.5,0,control
C3_t1_2025_11_10-19_22_50.h5,77.5,4,control
C3_t1_2025_11_10-19_22_50.h5,78.5,100,control
C3_t1_2025_11_10-19_22_50.h5,79.5,1,control
C3_t1_2025_11_10-19_22_50.h5,80.5,9,control
C3_t1_2025_11_10-19_22_50.h5,81.5,0,control
C3_t1_2025_11_10-19_22_50.h5,82.5,0,control
C3_t1_2025_11_10-19_22_50.h5,83.5,56,control
C3_t1_2025_11_10-19_22_50.h5,84.5,37,control
C3_t1_2025_11_10-19_22_50.h5,85.5,0,control
C3_t1_2025_11_10-19_22_50.h5,86.5,0,control
C3_t1_2025_11_10-19_22_50.h5,87.5,4,control
C3_t1_2025_11_10-19_22_50.h5,88.5,84,control
C3_t1_2025_11_10-19_22_50.h5,89.5,0,control
C3_t1_2025_11_10-19_22_50.h5,90.5,0,control
C3_t1_2025_11_10-19_22_50.h5,91.5,0,control
C3_t1_2025_11_10-19_22_50.h5,92.5,99,control
C3_t1_2025_11_10-19_22_50.h5,93.5,17,control
C3_t1_2025_11_10-19_22_50.h5,94.5,4,control
C3_t1_2025_11_10-19_22_50.h5,95.5,0,control
C3_t1_2025_11_10-19_22_50.h5,96.5,0,control
C3_t1_2025_11_10-19_22_50.h5,97.5,14,control
C3_t1_2025_11_10-19_22_50.h5,98.5,63,control
C3_t1_2025_11_10-19_22_50.h5,99.5,27,control
C3_t1_2025_11_10-19_22_50.h5,100.5,48,control
C3_t1_2025_11_10-19_22_50.h5,101.5,0,control
C3_t1_2025_11_10-19_22_50.h5,102.5,0,control
C3_t1_2025_11_10-19_22_50.h5,103.5,0,control
C3_t1_2025_11_10-19_22_50.h5,104.5,0,control
C3_t1_2025_11_10-19_22_50.h5,105.5,44,control
C3_t1_2025_11_10-19_22_50.h5,106.5,22,control
C3_t1_2025_11_10-19_22_50.h5,107.5,0,control
C3_t1_2025_11_10-19_22_50.h5,108.5,0,control
C3_t1_2025_11_10-19_22_50.h5,109.5,0,control
C3_t1_2025_11_10-19_22_50.h5,110.5,8,control
C3_t1_2025_11_10-19_22_50.h5,111.5,85,control
C3_t1_2025_11_10-19_22_50.h5,112.5,9,control
C3_t1_2025_11_10-19_22_50.h5,113.5,77,control
C3_t1_2025_11_10-19_22_50.h5,114.5,9,control
C3_t1_2025_11_10-19_22_50.h5,115.5,100,control
C3_t1_2025_11_10-19_22_50.h5,116.5,45,control
C3_t1_2025_11_10-19_22_50.h5,117.5,0,control
C3_t1_2025_11_10-19_22_50.h5,118.5,0,control
C3_t1_2025_11_10-19_22_50.h5,119.5,0,control
C3_t1_2025_11_10-19_22_50.h5,120.5,1,control
