BoutStart (s),BoutEnd (s),BoutDuration (s),IBI (s),AverageFrequency (Hz),InstantaneousFrequencies,Threshold,Condition,Filename,Group,FishID,SourcePath
90.018,90.1722,0.1542,0.4744000000000028,24.39229215407212,"[32.25806451612903, 31.446540880503143, 21.929824561403507, 14.005602240896357, 22.321428571428573]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
90.4402,90.4978,0.0576,0.2680000000000007,12.330456226880392,[12.330456226880393],0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
95.314,95.8214,0.5074,4.816199999999995,24.509256493532327,"[23.20185614849188, 22.779043280182233, 26.954177897574123, 26.246719160104984, 23.364485981308412]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
96.1032,96.123,0.0198,0.281800000000004,24.332392165444297,"[22.62443438914027, 27.700831024930746, 24.691358024691358, 12.51564455569462, 34.129692832764505]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
96.6718,96.7896,0.1178,0.5488,24.752475247524757,[24.752475247524753],0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
97.0844,97.295,0.2106,0.2948000000000093,21.978021978021975,[21.978021978021978],0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
97.7132,97.8874,0.1742,0.4181999999999988,18.07099844380793,"[11.389521640091116, 24.752475247524753]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
98.14,98.4426,0.3026,0.252600000000001,24.330900243309003,[24.330900243309003],0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
98.7624,98.8252,0.0628,0.3198000000000007,23.24183605051188,"[13.21003963011889, 28.98550724637681, 25.31645569620253, 23.20185614849188, 22.172949002217294, 18.552875695732837, 24.213075060532685, 27.247956403269754, 23.20185614849188, 26.315789473684212]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
99.2118,99.3656,0.1538,0.3866000000000014,24.33404724095032,"[23.255813953488374, 24.93765586034913, 24.390243902439025, 24.752475247524753]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
100.0784,100.0976,0.0192,0.7128000000000014,35.0797102319826,"[29.673590504451038, 40.48582995951417]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
100.5374,100.685,0.1476,0.4398000000000053,30.12048192771084,[30.12048192771084],0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
101.3196,101.4294,0.1098,0.6345999999999918,27.07905348022569,"[24.813895781637715, 29.32551319648094, 27.932960893854748, 27.3224043715847, 26.7379679144385, 26.246719160104984, 27.17391304347826]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
115.2,115.2194,0.0194,13.770600000000002,25.518154901044102,"[24.154589371980677, 26.881720430107528]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
131.0812,131.0934,0.0122,15.861800000000002,27.28528153955809,"[40.983606557377044, 13.58695652173913]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
131.3776,131.3974,0.0198,0.2841999999999984,28.573754477368936,"[27.027027027027028, 30.12048192771084]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
132.023,132.0726,0.0496,0.6255999999999915,24.330900243309003,[24.330900243309003],0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
132.3986,132.418,0.0194,0.3259999999999934,23.780449662712908,"[13.386880856760374, 29.850746268656714, 21.008403361344538, 27.027027027027028, 26.595744680851062, 24.813895781637715]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
133.0194,133.1754,0.156,0.601399999999984,26.66383008899762,"[25.31645569620253, 28.011204481792713]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
133.4032,133.4962,0.093,0.227800000000002,26.459088860648563,"[27.47252747252747, 26.954177897574123, 30.959752321981423, 20.449897750511248]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
133.8382,134.0118,0.1736,0.3420000000000129,25.561127681327008,"[25.31645569620253, 26.17801047120419, 25.188916876574307]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
134.4832,134.7116,0.2284,0.4714000000000169,27.700831024930743,[27.700831024930746],0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
134.9106,134.9648,0.0542,0.1989999999999838,23.344374468826956,"[22.93577981651376, 23.752969121140143]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
142.1638,142.1832,0.0194,7.199000000000012,26.10317091229803,"[23.809523809523807, 27.700831024930746, 24.330900243309003, 28.57142857142857]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
145.6944,145.9542,0.2598,3.5112000000000023,21.98262109435509,"[24.813895781637715, 20.366598778004075, 21.645021645021647, 26.109660574412533, 16.97792869269949]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
146.4186,146.6928,0.2742,0.4644000000000119,21.716510229170023,"[22.98850574712644, 26.109660574412533, 16.051364365971107]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
147.1282,147.1794,0.0512,0.4353999999999871,24.281334669873758,"[24.813895781637715, 24.630541871921185, 22.22222222222222, 24.630541871921185, 22.93577981651376, 26.455026455026456]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
147.51,147.6008,0.0908,0.330600000000004,22.026431718061676,[22.026431718061673],0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
148.0014,148.1366,0.1352,0.4005999999999972,21.03842098470119,"[24.875621890547265, 24.271844660194173, 21.09704641350211, 10.493179433368311, 20.70393374741201, 20.242914979757085, 22.172949002217294, 24.449877750611247]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
149.0132,149.0326,0.0194,0.8766000000000247,22.010714427439687,"[17.006802721088437, 24.93765586034913, 20.32520325203252, 25.77319587628866]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
149.359,149.4162,0.0572,0.3264000000000067,22.849138160612497,"[24.096385542168672, 18.51851851851852, 24.271844660194173, 24.509803921568626]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
166.2338,166.6392,0.4054,16.8176,23.84510070447685,"[24.213075060532685, 19.880715705765407, 22.93577981651376, 22.471910112359552, 26.246719160104984, 27.3224043715847]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
166.8496,167.0388,0.1892,0.2104000000000212,27.05102350088922,"[21.09704641350211, 29.761904761904763, 29.069767441860463, 25.38071065989848, 28.98550724637681, 28.011204481792713]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
167.4158,167.5248,0.109,0.3769999999999811,27.48236233135307,"[26.80965147453083, 33.898305084745765, 21.73913043478261]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
167.9462,168.0006,0.0544,0.4214000000000055,24.662969749183965,"[25.906735751295336, 23.419203747072597]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
168.4824,168.795,0.3126,0.4818000000000211,24.346642227032373,"[24.390243902439025, 26.595744680851062, 23.31002331002331, 33.78378378378378, 19.68503937007874, 18.315018315018314]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
169.3886,169.406,0.0174,0.5936000000000092,24.78079517773189,"[23.923444976076556, 24.509803921568626, 28.011204481792713, 25.0, 23.20185614849188, 24.03846153846154]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
182.1526,182.2724,0.1198,12.7466,29.742689044125097,"[26.109660574412533, 29.673590504451038, 33.44481605351171]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
262.8762,262.9922,0.116,80.60379999999998,24.620906329660816,"[24.449877750611247, 25.31645569620253, 24.096385542168672]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
263.2754,263.3602,0.0848,0.2831999999999652,25.910541534152213,"[24.813895781637715, 23.419203747072597, 29.498525073746315]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
263.6994,263.7564,0.057,0.3392000000000053,23.646148283426744,"[26.041666666666668, 25.44529262086514, 18.248175182481752, 11.148272017837234, 24.752475247524753, 32.78688524590164, 27.100271002710027]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
264.0204,264.329,0.3086,0.26400000000001,22.433663563750407,"[23.255813953488374, 21.73913043478261, 21.645021645021647, 23.094688221709006]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
264.6974,264.7936,0.0962,0.3684000000000083,23.066151761369824,"[19.646365422396855, 25.44529262086514, 22.172949002217294, 25.0]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
265.1382,265.319,0.1808,0.3445999999999571,21.6697187397286,"[21.83406113537118, 21.50537634408602]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
265.6818,265.8628,0.181,0.3627999999999929,24.38789557543381,"[27.397260273972606, 25.188916876574307, 20.53388090349076, 24.875621890547265, 21.231422505307854, 27.100271002710027]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
266.223,266.2786,0.0556,0.3602000000000203,22.693825415668982,"[20.70393374741201, 23.20185614849188, 22.831050228310502, 24.03846153846154]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
266.713,266.8046,0.0916,0.4344000000000392,23.67020402569497,"[21.73913043478261, 22.675736961451246, 26.595744680851062]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
267.207,267.408,0.201,0.4024000000000001,25.19978050399879,"[26.17801047120419, 23.364485981308412, 22.22222222222222, 28.57142857142857, 23.980815347721823, 26.881720430107528]",0.08074188,opsin,23d13006.abf,3s_opsin,output_23d13006,C:\Maha\DATA\vnr\analysis\3s_opsin\output_23d13006\bout_parameters.csv
