Time (s),Area Above Baseline (mV·s),Group,Trial_ID
32.2,-14.10306854,Opsin,140524_F1_C1_t1
32.4,-14.10010345,Opsin,140524_F1_C1_t1
32.6,-13.27329132,Opsin,140524_F1_C1_t1
32.8,-13.47869141,Opsin,140524_F1_C1_t1
33,-14.05131531,Opsin,140524_F1_C1_t1
33.2,-14.19151215,Opsin,140524_F1_C1_t1
33.4,-14.12801056,Opsin,140524_F1_C1_t1
33.6,-13.92238129,Opsin,140524_F1_C1_t1
33.8,-13.13049316,Opsin,140524_F1_C1_t1
34,-13.71381531,Opsin,140524_F1_C1_t1
34.2,-14.13688751,Opsin,140524_F1_C1_t1
34.4,-14.16736511,Opsin,140524_F1_C1_t1
34.6,-14.14354095,Opsin,140524_F1_C1_t1
34.8,-14.10191132,Opsin,140524_F1_C1_t1
35,-13.6450058,Opsin,140524_F1_C1_t1
35.2,-13.13729034,Opsin,140524_F1_C1_t1
35.4,-13.57349426,Opsin,140524_F1_C1_t1
35.6,-14.10443939,Opsin,140524_F1_C1_t1
35.8,-14.17002747,Opsin,140524_F1_C1_t1
36,-14.14203674,Opsin,140524_F1_C1_t1
36.2,-14.18763092,Opsin,140524_F1_C1_t1
36.4,-14.15009277,Opsin,140524_F1_C1_t1
36.6,-13.21596558,Opsin,140524_F1_C1_t1
36.8,-13.44481262,Opsin,140524_F1_C1_t1
37,-14.02774475,Opsin,140524_F1_C1_t1
37.2,-14.21515228,Opsin,140524_F1_C1_t1
37.4,-14.14686523,Opsin,140524_F1_C1_t1
37.6,-14.12082001,Opsin,140524_F1_C1_t1
37.8,-14.11141602,Opsin,140524_F1_C1_t1
38,-13.37572357,Opsin,140524_F1_C1_t1
38.2,-13.56481049,Opsin,140524_F1_C1_t1
38.4,-14.14082733,Opsin,140524_F1_C1_t1
38.6,-14.22354645,Opsin,140524_F1_C1_t1
38.8,-14.22664154,Opsin,140524_F1_C1_t1
39,-14.23055481,Opsin,140524_F1_C1_t1
39.2,-13.8470755,Opsin,140524_F1_C1_t1
39.4,-13.46224548,Opsin,140524_F1_C1_t1
39.6,-13.9575705,Opsin,140524_F1_C1_t1
39.8,-14.24271484,Opsin,140524_F1_C1_t1
40,-14.24511475,Opsin,140524_F1_C1_t1
40.2,-14.31593658,Opsin,140524_F1_C1_t1
40.4,-14.19611969,Opsin,140524_F1_C1_t1
40.6,-14.21153473,Opsin,140524_F1_C1_t1
40.8,-13.74631805,Opsin,140524_F1_C1_t1
41,-13.43710175,Opsin,140524_F1_C1_t1
41.2,-13.9869342,Opsin,140524_F1_C1_t1
41.4,-14.21672699,Opsin,140524_F1_C1_t1
41.6,-14.2546759,Opsin,140524_F1_C1_t1
41.8,-14.25701233,Opsin,140524_F1_C1_t1
42,-14.18985779,Opsin,140524_F1_C1_t1
42.2,-13.564245,Opsin,140524_F1_C1_t1
42.4,-13.67422699,Opsin,140524_F1_C1_t1
42.6,-14.1810614,Opsin,140524_F1_C1_t1
42.8,-14.26646057,Opsin,140524_F1_C1_t1
43,-14.30200226,Opsin,140524_F1_C1_t1
43.2,-14.29888092,Opsin,140524_F1_C1_t1
43.4,-13.95115112,Opsin,140524_F1_C1_t1
43.6,-13.57516052,Opsin,140524_F1_C1_t1
43.8,-14.02000122,Opsin,140524_F1_C1_t1
