K value,Median Stability Score,Fish_ID
5,0.6644635774490624,F8
6,0.5662079864140155,F8
7,0.917440921168186,F8
8,0.7703570674446928,F8
9,0.9324359652717212,F8
10,0.915778114650287,F8
11,0.858383510878519,F8
12,0.8314183514493388,F8
13,0.8911076346788727,F8
14,0.8423383487241438,F8
15,0.8043845061854957,F8
16,0.796001678614967,F8
17,0.7391977301879,F8
18,0.7470009954721322,F8
19,0.7073889468594722,F8
2,0.973743037926723,F9
3,0.972551253704098,F9
4,0.8478182439731767,F9
5,0.9496648804765484,F9
6,0.5688280490071282,F9
7,0.9021524492518024,F9
8,0.9011721718398984,F9
9,0.8341629097035094,F9
10,0.8682507073275361,F9
11,0.82478996453514,F9
12,0.8262675287107666,F9
13,0.7974292156015521,F9
14,0.7820732835447688,F9
15,0.7551301183796384,F9
16,0.7799236578253774,F9
17,0.7967043479454717,F9
18,0.8019704431257977,F9
19,0.7791350203899108,F9
2,1.0,F10
3,1.0,F10
4,0.8548692904799041,F10
5,0.8548656391788764,F10
6,0.8530436957078718,F10
7,0.8212363564263365,F10
8,0.8084517979508148,F10
9,0.8210549311393355,F10
10,0.8019940132899025,F10
11,0.7828422389933412,F10
12,0.8619680183494123,F10
13,0.8648323587606669,F10
14,0.8644574979379078,F10
15,0.8376361575963969,F10
16,0.8405768080858493,F10
17,0.8152448321061294,F10
18,0.7935870369666731,F10
19,0.7998784348738701,F10
2,0.7831210674450431,F11
3,0.9282190568722763,F11
4,0.9495578291860984,F11
5,0.9763011049393742,F11
6,0.6428304730719272,F11
7,0.8878422239127453,F11
8,0.919107573072427,F11
9,0.9123283333523912,F11
10,0.8402963035771229,F11
11,0.8111902358629175,F11
12,0.837231945864016,F11
13,0.8114327638868097,F11
14,0.8174964062301697,F11
15,0.8149804012511327,F11
16,0.8342448088980353,F11
17,0.8216806986158097,F11
18,0.8232520234380156,F11
19,0.7731155232820973,F11
2,0.948884618039506,F12
3,0.9314764445843712,F12
4,0.967318040091125,F12
5,0.8734409126176628,F12
6,0.8592697607583658,F12
7,0.8471933442509343,F12
8,0.8576527498998243,F12
9,0.8819593397176275,F12
10,0.8973983753757458,F12
11,0.8507194229991368,F12
12,0.8608696391487035,F12
13,0.843831880275938,F12
14,0.8780501087689435,F12
15,0.9077216270546068,F12
16,0.8944268832131471,F12
17,0.8956385350303111,F12
18,0.915883276690384,F12
19,0.7916595374473039,F12
2,1.0,F13
3,0.7154707010781998,F13
4,0.9648821362453066,F13
5,0.8046479466666372,F13
6,0.9026384601978504,F13
7,0.86493439384075,F13
8,0.75319400793658,F13
9,0.7367953586235059,F13
10,0.8247396496837285,F13
11,0.8732078440155628,F13
12,0.7914328585062476,F13
13,0.8183919498559031,F13
14,0.7913809440813391,F13
15,0.8243211931528205,F13
16,0.8142923749893966,F13
17,0.8005813715919529,F13
18,0.7685764305186189,F13
19,0.7648347096883159,F13
2,0.972166373662846,F14
3,0.9696070878448504,F14
4,0.8187139867280846,F14
5,0.9807380649738008,F14
6,0.9771116480529254,F14
7,0.933145359803476,F14
